,Solar1,Wind1,Hydro1,Diesel1,Diesel2,Central,Battery1
0,0.0,62.12291400000001,0.0,0.0,0.0,0.0,5.0
1,0.0,43.776044802000015,0.0,0.0,0.0,0.0,0.0
2,0.0,40.81891010803199,0.0,0.0,0.0,0.0,4.440892098500626e-16
3,0.0,37.288551250944,0.0,0.0,0.0,0.0,0.0
4,0.0,32.62922228462399,0.0,0.0,0.0,0.0,0.10000000000000009
5,0.0,23.829022224000006,0.0,0.0,0.0,0.0,3.6651494859999927
6,0.0,19.752414732288006,11.71257319008,0.0,0.0,0.0,0.0
7,0.0,0.0,22.337702049600004,0.0,0.0,0.0,3.6774192003999957
8,0.0,29.884259034000014,0.0,0.0,0.0,0.0,0.1
9,0.0,0.0,15.103854652320003,0.0,0.0,10.0,0.0
10,0.0,45.74776274510399,0.0,0.0,0.0,0.0,0.0
11,0.10547200000000001,0.0,23.197358519999998,0.0,0.0,0.0,2.2019857200000055
12,0.10506240000000001,0.0,9.039759120000001,0.0,0.0,10.614681414000005,4.581863565999996
13,0.0,42.959210270256015,0.0,0.0,0.0,0.0,0.1
14,0.0,29.538001369296005,0.0,0.0,0.0,0.0,0.1
15,0.0633856,0.0,23.260038873120003,0.0,0.0,0.0,1.918302196879993
16,0.037580800000000004,0.0,6.009012797760001,0.0,14.793624335370172,0.0,4.436458546869826
17,0.012595200000000003,0.0,7.661776227840001,0.0,10.0,10.0,0.0
18,0.0,0.0,28.557853605120005,0.0,0.0,0.0,0.09999999999999787
19,0.0,0.0,15.850273776959998,0.0,12.770927313040001,0.0,0.0
20,0.0,28.515296701583996,14.817091450560003,0.0,0.0,0.0,0.1
21,0.0,45.440645926032,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,26.524130572800004,0.0,0.0,0.0,4.712485817199973
23,0.0,54.70189366924801,0.0,0.0,0.0,0.0,1.0093884736600303
